"Var1" "Var2" "value" "n"
"MMc" "HLA.A2" -0.111591577955007 5
"ins.MMc" "HLA.A2" -0.510962163682085 5
"MxA" "HLA.A2" -0.980628400283139 3
"BM" "HLA.A2" -0.471420086539174 5
"insulin" "HLA.A2" 0.374643014167491 11
"insulin2" "HLA.A2" NA 3
"HLA" "HLA.A2" NA 3
"survivin" "HLA.A2" NA 3
"CH.Ins" "HLA.A2" NA 22
"CH.amyloid" "HLA.A2" NA 22
"CH.dysplasia" "HLA.A2" 0.32384200746926 22
"CH.metaplasia" "HLA.A2" -0.323676076063147 22
"CH.pancreatitis" "HLA.A2" 0.0783344455622097 22
"CH.atrophy" "HLA.A2" 0.207516592228812 22
"CH.fibrosis" "HLA.A2" -0.0048921578391863 22
"CH.CD3" "HLA.A2" 0.0345220756866873 22
"CH.Ki67" "HLA.A2" -0.115536538435753 7
"CH.islet.freq" "HLA.A2" NA 8
"CH.islet.size" "HLA.A2" NA 7
"CR.age" "HLA.A2" -0.00850422376954089 22
"CR.height" "HLA.A2" 0.173568115461254 22
"CR.weight" "HLA.A2" 0.0086697375449232 22
"CR.BMI" "HLA.A2" -0.106089211376799 22
"CR.dbDuration" "HLA.A2" 0.226301110391695 14
"CR.ageOnset" "HLA.A2" 0.0721099337054691 14
"CR.Cpeptide" "HLA.A2" 0.0695072624659 21
"CR.HbA1c" "HLA.A2" 0.177283563936569 6
"CR.peakGluc" "HLA.A2" 0.190893750695617 21
"HS" "HLA.A3" 0.247399848934398 9
"Col18" "HLA.A3" 0.214141014509546 7
"Sdc1" "HLA.A3" 0.0545953496870099 5
"Ins_x1" "HLA.A3" 0.0645445167856584 9
"Gcg_x1" "HLA.A3" -0.0254613979337242 7
"IP3R2" "HLA.A3" NA 1
"TOM20" "HLA.A3" NA 1
"MFN2" "HLA.A3" NA 1
"VDAC1" "HLA.A3" NA 1
"IP3R2.VDAC1" "HLA.A3" NA 1
"beta_Ins" "HLA.A3" 0.00587002150255119 5
"beta_cells" "HLA.A3" -0.0882092715976252 16
"beta_area" "HLA.A3" -0.267733106369808 16
"beta_mass" "HLA.A3" -0.36087080231148 13
"Nitrotyrosine" "HLA.A3" 0.103940201293428 6
"GLP1R.acinar_x1" "HLA.A3" NA 0
"GLP1R.islets_x1" "HLA.A3" NA 0
"GLP1R.acinar_x2" "HLA.A3" NA 0
"GLP1R.islets_x2" "HLA.A3" NA 0
"HLA.A1" "HLA.A3" 0.663072359660337 22
"HLA.A2" "HLA.A3" 1 22
"HLA.A3" "HLA.A3" 1 22
"HLA.A4" "HLA.A3" 0.659382258790239 22
"HLA.A5" "HLA.A3" 0.717932836138741 22
"HLA.A6" "HLA.A3" 0.740198048722604 22
"HLA.A7" "HLA.A3" 0.605904117809848 22
"HLA.A8" "HLA.A3" 0.599101410982021 22
"HLA.B1" "HLA.A3" 0.253023546878745 22
"HLA.B2" "HLA.A3" 0.0228913401787627 22
"HLA.B3" "HLA.A3" 0.56068174227461 22
"HLA.B4" "HLA.A3" 0.384593775685008 22
"HLA.B5" "HLA.A3" 0.589676124994472 22
"HLA.B6" "HLA.A3" 0.589249135571038 22
"HLA.C1" "HLA.A3" 0.580673690472601 22
"HLA.C2" "HLA.A3" 0.457146279583828 22
"HLA.C3" "HLA.A3" 0.644088661450822 22
"HLA.C4" "HLA.A3" 0.745498789584647 22
"HLA.C5" "HLA.A3" 0.557537200824507 22
"HLA.C6" "HLA.A3" 0.658360046080527 22
"HLA.C7" "HLA.A3" 0.686388425528345 22
"HLA.F1" "HLA.A3" 0.0616407944452829 22
"HLA.F2" "HLA.A3" 0.252771767420529 22
"HLA.F3" "HLA.A3" 0.334582832502536 22
"HLA.F4" "HLA.A3" 0.334582832502536 22
"HLA.F5" "HLA.A3" 0.414847976312964 22
"HLA.F6" "HLA.A3" 0.334582832502536 22
"HLA.F7" "HLA.A3" -0.167388421258691 22
"B2M" "HLA.A3" 0.657693696850939 22
"STAT1" "HLA.A3" 0.271458073594634 22
"IHC.score" "HLA.A3" 0.224884501235194 22
"ICI.score" "HLA.A3" 0.233353546535693 22
"GAD65" "HLA.A3" 0.184560462514741 5
"CD20_x1" "HLA.A3" 1 2
"CyclinD1" "HLA.A3" 0.396150787841118 7
"CyclinD3" "HLA.A3" 0.119543144052081 7
"n_leucocytes" "HLA.A3" 0.215936246332196 6
"n_leucocytes2" "HLA.A3" 0.103190389243964 6
"n_islets" "HLA.A3" 0.561192378095854 6
"n_insulitis" "HLA.A3" 0.627903768150617 6
"n_islets2" "HLA.A3" -0.704858741265191 6
"n_insulitis2" "HLA.A3" -0.44522234464123 6
"x12LO" "HLA.A3" 0.548030088562777 7
"CD20_x2" "HLA.A3" 0.149219854045462 3
"MMc" "HLA.A3" -0.111591577955007 5
"ins.MMc" "HLA.A3" -0.510962163682085 5
"MxA" "HLA.A3" -0.980628400283139 3
"BM" "HLA.A3" -0.471420086539174 5
"insulin" "HLA.A3" 0.374643014167491 11
"insulin2" "HLA.A3" NA 3
"HLA" "HLA.A3" NA 3
"survivin" "HLA.A3" NA 3
"CH.Ins" "HLA.A3" NA 22
"CH.amyloid" "HLA.A3" NA 22
"CH.dysplasia" "HLA.A3" 0.32384200746926 22
"CH.metaplasia" "HLA.A3" -0.323676076063147 22
"CH.pancreatitis" "HLA.A3" 0.0783344455622097 22
"CH.atrophy" "HLA.A3" 0.207516592228812 22
"CH.fibrosis" "HLA.A3" -0.0048921578391863 22
"CH.CD3" "HLA.A3" 0.0345220756866873 22
"CH.Ki67" "HLA.A3" -0.115536538435753 7
"CH.islet.freq" "HLA.A3" NA 8
"CH.islet.size" "HLA.A3" NA 7
"CR.age" "HLA.A3" -0.00850422376954089 22
"CR.height" "HLA.A3" 0.173568115461254 22
"CR.weight" "HLA.A3" 0.0086697375449232 22
"CR.BMI" "HLA.A3" -0.106089211376799 22
"CR.dbDuration" "HLA.A3" 0.226301110391695 14
"CR.ageOnset" "HLA.A3" 0.0721099337054691 14
"CR.Cpeptide" "HLA.A3" 0.0695072624659 21
"CR.HbA1c" "HLA.A3" 0.177283563936569 6
"CR.peakGluc" "HLA.A3" 0.190893750695617 21
"HS" "HLA.A4" 0.17633116949786 9
"Col18" "HLA.A4" 0.391709618975902 7
"Sdc1" "HLA.A4" -0.105426244344506 5
"Ins_x1" "HLA.A4" 0.0602376520136256 9
"Gcg_x1" "HLA.A4" 0.195547685730529 7
"IP3R2" "HLA.A4" NA 1
"TOM20" "HLA.A4" NA 1
"MFN2" "HLA.A4" NA 1
"VDAC1" "HLA.A4" NA 1
"IP3R2.VDAC1" "HLA.A4" NA 1
"beta_Ins" "HLA.A4" -0.0775363888449848 5
"beta_cells" "HLA.A4" -0.194346886917471 16
"beta_area" "HLA.A4" -0.234405438117075 16
"beta_mass" "HLA.A4" -0.20592683752645 13
"Nitrotyrosine" "HLA.A4" 0.493441579562059 6
"GLP1R.acinar_x1" "HLA.A4" NA 0
"GLP1R.islets_x1" "HLA.A4" NA 0
"GLP1R.acinar_x2" "HLA.A4" NA 0
"GLP1R.islets_x2" "HLA.A4" NA 0
"HLA.A1" "HLA.A4" 0.294089125763523 22
"HLA.A2" "HLA.A4" 0.659382258790239 22
"HLA.A3" "HLA.A4" 0.659382258790239 22
"HLA.A4" "HLA.A4" 1 22
"HLA.A5" "HLA.A4" 0.857716652038518 22
"HLA.A6" "HLA.A4" 0.935664948396316 22
"HLA.A7" "HLA.A4" 0.746589719552537 22
"HLA.A8" "HLA.A4" 0.36417688965272 22
"HLA.B1" "HLA.A4" 0.341035372849543 22
"HLA.B2" "HLA.A4" -0.0543812494742697 22
"HLA.B3" "HLA.A4" 0.692040258413833 22
"HLA.B4" "HLA.A4" 0.28364805663983 22
"HLA.B5" "HLA.A4" 0.706554412850178 22
"HLA.B6" "HLA.A4" 0.734047488586017 22
"HLA.C1" "HLA.A4" 0.556609340813537 22
"HLA.C2" "HLA.A4" 0.447056130309846 22
"HLA.C3" "HLA.A4" 0.70622165502803 22
"HLA.C4" "HLA.A4" 0.711246170543392 22
"HLA.C5" "HLA.A4" 0.519547482809037 22
"HLA.C6" "HLA.A4" 0.735848996703535 22
"HLA.C7" "HLA.A4" 0.752513421158793 22
"HLA.F1" "HLA.A4" 0.243273998288824 22
"HLA.F2" "HLA.A4" 0.431166305818639 22
"HLA.F3" "HLA.A4" 0.585414092866551 22
"HLA.F4" "HLA.A4" 0.585414092866551 22
"HLA.F5" "HLA.A4" 0.459056941019241 22
"HLA.F6" "HLA.A4" 0.585414092866551 22
"HLA.F7" "HLA.A4" -0.134790845041097 22
"B2M" "HLA.A4" 0.61286856157438 22
"STAT1" "HLA.A4" 0.207081617341872 22
"IHC.score" "HLA.A4" 0.320624894205354 22
"ICI.score" "HLA.A4" 0.0795076636470765 22
"GAD65" "HLA.A4" 0.499952120475198 5
"CD20_x1" "HLA.A4" 1 2
"CyclinD1" "HLA.A4" 0.135563016392285 7
"CyclinD3" "HLA.A4" -0.0551724201553009 7
"n_leucocytes" "HLA.A4" 0.486720693145794 6
"n_leucocytes2" "HLA.A4" 0.378004224701916 6
"n_islets" "HLA.A4" 0.0540544664738637 6
"n_insulitis" "HLA.A4" 0.335676513702617 6
"n_islets2" "HLA.A4" -0.814545896135896 6
"n_insulitis2" "HLA.A4" -0.530220914542108 6
"x12LO" "HLA.A4" -0.0667858955581138 7
"CD20_x2" "HLA.A4" -0.630454504726095 3
"MMc" "HLA.A4" -0.217529644483135 5
"ins.MMc" "HLA.A4" -0.383369177923573 5
"MxA" "HLA.A4" -0.999998968673988 3
"BM" "HLA.A4" -0.543561813782624 5
"insulin" "HLA.A4" -0.0933057562020421 11
"insulin2" "HLA.A4" NA 3
"HLA" "HLA.A4" NA 3
"survivin" "HLA.A4" NA 3
"CH.Ins" "HLA.A4" NA 22
"CH.amyloid" "HLA.A4" NA 22
"CH.dysplasia" "HLA.A4" 0.0782762851870796 22
"CH.metaplasia" "HLA.A4" -0.258092197342666 22
"CH.pancreatitis" "HLA.A4" 0.159855191597033 22
"CH.atrophy" "HLA.A4" 0.348003471125604 22
"CH.fibrosis" "HLA.A4" 0.251823148071333 22
"CH.CD3" "HLA.A4" 0.0680211313011798 22
"CH.Ki67" "HLA.A4" 0.596125471146738 7
"CH.islet.freq" "HLA.A4" NA 8
"CH.islet.size" "HLA.A4" NA 7
"CR.age" "HLA.A4" -0.173827187758246 22
"CR.height" "HLA.A4" 0.0304197846384363 22
"CR.weight" "HLA.A4" -0.168775769671054 22
"CR.BMI" "HLA.A4" -0.272416233091373 22
"CR.dbDuration" "HLA.A4" 0.0459794315260314 14
"CR.ageOnset" "HLA.A4" 0.214199417492551 14
"CR.Cpeptide" "HLA.A4" -0.143893904247065 21
"CR.HbA1c" "HLA.A4" 0.844059664324805 6
"CR.peakGluc" "HLA.A4" 0.259557852951823 21
"HS" "HLA.A5" 0.538001470127298 9
"Col18" "HLA.A5" 0.523262755079119 7
"Sdc1" "HLA.A5" 0.351902792015711 5
"Ins_x1" "HLA.A5" 0.155506648607023 9
"Gcg_x1" "HLA.A5" -0.137200076148657 7
"IP3R2" "HLA.A5" NA 1
"TOM20" "HLA.A5" NA 1
"MFN2" "HLA.A5" NA 1
"VDAC1" "HLA.A5" NA 1
"IP3R2.VDAC1" "HLA.A5" NA 1
"beta_Ins" "HLA.A5" -0.0927074170272421 5
"beta_cells" "HLA.A5" -0.164682210199131 16
"beta_area" "HLA.A5" -0.276803466165445 16
"beta_mass" "HLA.A5" -0.394847724196716 13
"Nitrotyrosine" "HLA.A5" 0.197423243788579 6
"GLP1R.acinar_x1" "HLA.A5" NA 0
"GLP1R.islets_x1" "HLA.A5" NA 0
"GLP1R.acinar_x2" "HLA.A5" NA 0
"GLP1R.islets_x2" "HLA.A5" NA 0
"HLA.A1" "HLA.A5" 0.263543542053573 22
"HLA.A2" "HLA.A5" 0.717932836138741 22
"HLA.A3" "HLA.A5" 0.717932836138741 22
"HLA.A4" "HLA.A5" 0.857716652038518 22
"HLA.A5" "HLA.A5" 1 22
"HLA.A6" "HLA.A5" 0.809421659310662 22
"HLA.A7" "HLA.A5" 0.762140786752124 22
"HLA.A8" "HLA.A5" 0.483607237706844 22
"HLA.B1" "HLA.A5" 0.269669102889077 22
"HLA.B2" "HLA.A5" -0.103833510651811 22
"HLA.B3" "HLA.A5" 0.796757674578636 22
"HLA.B4" "HLA.A5" 0.272447366061182 22
"HLA.B5" "HLA.A5" 0.737147660628395 22
"HLA.B6" "HLA.A5" 0.813946685771992 22
"HLA.C1" "HLA.A5" 0.673076074045738 22
"HLA.C2" "HLA.A5" 0.532054879605586 22
"HLA.C3" "HLA.A5" 0.870819689723767 22
"HLA.C4" "HLA.A5" 0.68425058056667 22
"HLA.C5" "HLA.A5" 0.498323740466097 22
"HLA.C6" "HLA.A5" 0.862443677768607 22
"HLA.C7" "HLA.A5" 0.883003680968389 22
"HLA.F1" "HLA.A5" 0.356130948673827 22
"HLA.F2" "HLA.A5" 0.556637490934731 22
"HLA.F3" "HLA.A5" 0.652238132705565 22
"HLA.F4" "HLA.A5" 0.652238132705565 22
"HLA.F5" "HLA.A5" 0.520825745592866 22
"HLA.F6" "HLA.A5" 0.652238132705565 22
"HLA.F7" "HLA.A5" -0.113623460657451 22
"B2M" "HLA.A5" 0.638811831809663 22
"STAT1" "HLA.A5" 0.3201818239488 22
"IHC.score" "HLA.A5" 0.175431100690223 22
"ICI.score" "HLA.A5" 0.127052189323734 22
"GAD65" "HLA.A5" 0.524758461108697 5
"CD20_x1" "HLA.A5" 1 2
"CyclinD1" "HLA.A5" 0.197865092940409 7
"CyclinD3" "HLA.A5" -0.0198450409813496 7
"n_leucocytes" "HLA.A5" 0.857551002425705 6
"n_leucocytes2" "HLA.A5" 0.00900250795351316 6
"n_islets" "HLA.A5" -0.213403856432683 6
"n_insulitis" "HLA.A5" 0.0910968979803007 6
"n_islets2" "HLA.A5" -0.714620808035182 6
"n_insulitis2" "HLA.A5" -0.444716360052176 6
"x12LO" "HLA.A5" 0.14319692904467 7
"CD20_x2" "HLA.A5" 0.188982236504613 3
"MMc" "HLA.A5" -0.199566829808739 5
"ins.MMc" "HLA.A5" -0.371231705487497 5
"MxA" "HLA.A5" -0.993249064904203 3
"BM" "HLA.A5" -0.8269104583854 5
"insulin" "HLA.A5" 0.146057740675431 11
"insulin2" "HLA.A5" NA 3
"HLA" "HLA.A5" NA 3
"survivin" "HLA.A5" NA 3
"CH.Ins" "HLA.A5" NA 22
"CH.amyloid" "HLA.A5" NA 22
"CH.dysplasia" "HLA.A5" 0.0155419483581936 22
"CH.metaplasia" "HLA.A5" -0.239572490723264 22
"CH.pancreatitis" "HLA.A5" 0.401735990886206 22
"CH.atrophy" "HLA.A5" 0.209712210299811 22
"CH.fibrosis" "HLA.A5" 0.286664859874412 22
"CH.CD3" "HLA.A5" -0.0171354814904792 22
"CH.Ki67" "HLA.A5" 0.728512810029927 7
"CH.islet.freq" "HLA.A5" NA 8
"CH.islet.size" "HLA.A5" NA 7
"CR.age" "HLA.A5" -0.0928378017826656 22
"CR.height" "HLA.A5" 0.00286667416967395 22
"CR.weight" "HLA.A5" -0.169028905119674 22
"CR.BMI" "HLA.A5" -0.271593811176923 22
"CR.dbDuration" "HLA.A5" -0.0337422445125468 14
"CR.ageOnset" "HLA.A5" 0.265698114507849 14
"CR.Cpeptide" "HLA.A5" -0.150542515877761 21
"CR.HbA1c" "HLA.A5" 0.586984063826003 6
"CR.peakGluc" "HLA.A5" 0.189362573028126 21
"HS" "HLA.A6" 0.156552532005618 9
"Col18" "HLA.A6" 0.350253751059264 7
"Sdc1" "HLA.A6" -0.00305993515824471 5
"Ins_x1" "HLA.A6" 0.0937857426409983 9
"Gcg_x1" "HLA.A6" 0.21657449426445 7
"IP3R2" "HLA.A6" NA 1
"TOM20" "HLA.A6" NA 1
"MFN2" "HLA.A6" NA 1
"VDAC1" "HLA.A6" NA 1
"IP3R2.VDAC1" "HLA.A6" NA 1
"beta_Ins" "HLA.A6" -0.115610935505499 5
"beta_cells" "HLA.A6" -0.224887980417175 16
"beta_area" "HLA.A6" -0.216415704612034 16
"beta_mass" "HLA.A6" -0.216177873734814 13
"Nitrotyrosine" "HLA.A6" 0.0474487035322187 6
"GLP1R.acinar_x1" "HLA.A6" NA 0
"GLP1R.islets_x1" "HLA.A6" NA 0
"GLP1R.acinar_x2" "HLA.A6" NA 0
"GLP1R.islets_x2" "HLA.A6" NA 0
"HLA.A1" "HLA.A6" 0.28805778626552 22
"HLA.A2" "HLA.A6" 0.740198048722604 22
"HLA.A3" "HLA.A6" 0.740198048722604 22
"HLA.A4" "HLA.A6" 0.935664948396316 22
"HLA.A5" "HLA.A6" 0.809421659310662 22
"HLA.A6" "HLA.A6" 1 22
"HLA.A7" "HLA.A6" 0.655424186360044 22
"HLA.A8" "HLA.A6" 0.433001097473466 22
"HLA.B1" "HLA.A6" 0.340879848083198 22
"HLA.B2" "HLA.A6" 0.0820905798483573 22
"HLA.B3" "HLA.A6" 0.695757328069924 22
"HLA.B4" "HLA.A6" 0.346158516001983 22
"HLA.B5" "HLA.A6" 0.706114731861522 22
"HLA.B6" "HLA.A6" 0.724780729210074 22
"HLA.C1" "HLA.A6" 0.630294704972165 22
"HLA.C2" "HLA.A6" 0.502739360600897 22
"HLA.C3" "HLA.A6" 0.679480173154632 22
"HLA.C4" "HLA.A6" 0.747138660686543 22
"HLA.C5" "HLA.A6" 0.440136421330137 22
"HLA.C6" "HLA.A6" 0.720639865994635 22
"HLA.C7" "HLA.A6" 0.732473672680847 22
"HLA.F1" "HLA.A6" 0.19432474274916 22
"HLA.F2" "HLA.A6" 0.427306853073759 22
"HLA.F3" "HLA.A6" 0.549229485597873 22
"HLA.F4" "HLA.A6" 0.549229485597873 22
"HLA.F5" "HLA.A6" 0.485588094538719 22
"HLA.F6" "HLA.A6" 0.549229485597873 22
"HLA.F7" "HLA.A6" -0.138191905282928 22
"B2M" "HLA.A6" 0.723947479989636 22
"STAT1" "HLA.A6" 0.261603387109815 22
"IHC.score" "HLA.A6" 0.304271174347487 22
"ICI.score" "HLA.A6" 0.0439101150173745 22
"GAD65" "HLA.A6" 0.540043068505337 5
"CD20_x1" "HLA.A6" 1 2
"CyclinD1" "HLA.A6" 0.351697435495321 7
"CyclinD3" "HLA.A6" 0.0418595442105963 7
"n_leucocytes" "HLA.A6" 0.448391980533199 6
"n_leucocytes2" "HLA.A6" 0.139435938976841 6
"n_islets" "HLA.A6" 0.328410801370779 6
"n_insulitis" "HLA.A6" 0.545336696291892 6
"n_islets2" "HLA.A6" -0.781076075765251 6
"n_insulitis2" "HLA.A6" -0.527796473015658 6
"x12LO" "HLA.A6" -0.0138544790560614 7
"CD20_x2" "HLA.A6" -0.0467529965311987 3
"MMc" "HLA.A6" -0.0723104204670212 5
"ins.MMc" "HLA.A6" -0.359028095280998 5
"MxA" "HLA.A6" -0.997875133947017 3
"BM" "HLA.A6" -0.6936981570605 5
"insulin" "HLA.A6" -0.0401264644535642 11
"insulin2" "HLA.A6" NA 3
"HLA" "HLA.A6" NA 3
"survivin" "HLA.A6" NA 3
"CH.Ins" "HLA.A6" NA 22
"CH.amyloid" "HLA.A6" NA 22
"CH.dysplasia" "HLA.A6" 0.106891402603482 22
"CH.metaplasia" "HLA.A6" -0.218081644652229 22
"CH.pancreatitis" "HLA.A6" 0.00490739387090715 22
"CH.atrophy" "HLA.A6" 0.372016682262473 22
"CH.fibrosis" "HLA.A6" 0.146629153287493 22
"CH.CD3" "HLA.A6" 0.224300627335219 22
"CH.Ki67" "HLA.A6" 0.340162561130819 7
"CH.islet.freq" "HLA.A6" NA 8
"CH.islet.size" "HLA.A6" NA 7
"CR.age" "HLA.A6" -0.140385393597331 22
"CR.height" "HLA.A6" 0.0679855160376825 22
"CR.weight" "HLA.A6" -0.112196216660624 22
"CR.BMI" "HLA.A6" -0.225664256650548 22
"CR.dbDuration" "HLA.A6" 0.159634942207949 14
"CR.ageOnset" "HLA.A6" 0.155684204943876 14
"CR.Cpeptide" "HLA.A6" -0.110133415879644 21
"CR.HbA1c" "HLA.A6" 0.776585860453256 6
"CR.peakGluc" "HLA.A6" 0.196659486934364 21
"HS" "HLA.A7" 0.325024721261928 9
"Col18" "HLA.A7" 0.519772642605384 7
"Sdc1" "HLA.A7" -0.0902305686652681 5
"Ins_x1" "HLA.A7" 0.015025289191932 9
"Gcg_x1" "HLA.A7" 0.282420997080546 7
"IP3R2" "HLA.A7" NA 1
"TOM20" "HLA.A7" NA 1
"MFN2" "HLA.A7" NA 1
"VDAC1" "HLA.A7" NA 1
"IP3R2.VDAC1" "HLA.A7" NA 1
"beta_Ins" "HLA.A7" -0.234383888582468 5
"beta_cells" "HLA.A7" 0.0524299746123976 16
"beta_area" "HLA.A7" -0.148298519525945 16
"beta_mass" "HLA.A7" -0.260492322371156 13
"Nitrotyrosine" "HLA.A7" 0.544712552987164 6
"GLP1R.acinar_x1" "HLA.A7" NA 0
"GLP1R.islets_x1" "HLA.A7" NA 0
"GLP1R.acinar_x2" "HLA.A7" NA 0
"GLP1R.islets_x2" "HLA.A7" NA 0
"HLA.A1" "HLA.A7" 0.421771103562548 22
"HLA.A2" "HLA.A7" 0.605904117809848 22
"HLA.A3" "HLA.A7" 0.605904117809848 22
"HLA.A4" "HLA.A7" 0.746589719552537 22
"HLA.A5" "HLA.A7" 0.762140786752124 22
"HLA.A6" "HLA.A7" 0.655424186360044 22
"HLA.A7" "HLA.A7" 1 22
"HLA.A8" "HLA.A7" 0.458839996678066 22
"HLA.B1" "HLA.A7" 0.106428894519714 22
"HLA.B2" "HLA.A7" -0.201435216709339 22
"HLA.B3" "HLA.A7" 0.441298074847335 22
"HLA.B4" "HLA.A7" -0.0666176960430494 22
"HLA.B5" "HLA.A7" 0.377307200108339 22
"HLA.B6" "HLA.A7" 0.487612871234047 22
"HLA.C1" "HLA.A7" 0.307660153638432 22
"HLA.C2" "HLA.A7" 0.196813032178294 22
"HLA.C3" "HLA.A7" 0.556179619242731 22
"HLA.C4" "HLA.A7" 0.465330925599557 22
"HLA.C5" "HLA.A7" 0.484335050419016 22
"HLA.C6" "HLA.A7" 0.551375258172468 22
"HLA.C7" "HLA.A7" 0.611635153492543 22
"HLA.F1" "HLA.A7" 0.208958491298335 22
"HLA.F2" "HLA.A7" 0.346770708505897 22
"HLA.F3" "HLA.A7" 0.391007246891614 22
"HLA.F4" "HLA.A7" 0.391007246891614 22
"HLA.F5" "HLA.A7" 0.305437630554666 22
"HLA.F6" "HLA.A7" 0.391007246891614 22
"HLA.F7" "HLA.A7" -0.104122869812505 22
"B2M" "HLA.A7" 0.505699400562957 22
"STAT1" "HLA.A7" 0.0669832008759586 22
"IHC.score" "HLA.A7" 0.0879207771968928 22
"ICI.score" "HLA.A7" 0.131685313437315 22
"GAD65" "HLA.A7" 0.427503054633905 5
"CD20_x1" "HLA.A7" 1 2
"CyclinD1" "HLA.A7" 0.169298075689147 7
"CyclinD3" "HLA.A7" 0.301411980148423 7
"n_leucocytes" "HLA.A7" 0.560013053296869 6
"n_leucocytes2" "HLA.A7" 0.242091205288707 6
"n_islets" "HLA.A7" -0.110247944383977 6
"n_insulitis" "HLA.A7" 0.0745757755586642 6
"n_islets2" "HLA.A7" -0.802537530184581 6
"n_insulitis2" "HLA.A7" -0.614220464956076 6
"x12LO" "HLA.A7" 0.0722436678862606 7
"CD20_x2" "HLA.A7" -0.360846958075525 3
"MMc" "HLA.A7" -0.141319409817479 5
"ins.MMc" "HLA.A7" -0.186160797633988 5
"MxA" "HLA.A7" -0.937630185272789 3
"BM" "HLA.A7" -0.597973958539927 5
"insulin" "HLA.A7" 0.0966876291186947 11
"insulin2" "HLA.A7" NA 3
"HLA" "HLA.A7" NA 3
"survivin" "HLA.A7" NA 3
"CH.Ins" "HLA.A7" NA 22
"CH.amyloid" "HLA.A7" NA 22
"CH.dysplasia" "HLA.A7" 0.0410480669008792 22
"CH.metaplasia" "HLA.A7" -0.254911988975889 22
"CH.pancreatitis" "HLA.A7" 0.282077110872065 22
"CH.atrophy" "HLA.A7" 0.402396754991415 22
"CH.fibrosis" "HLA.A7" 0.455085236877186 22
"CH.CD3" "HLA.A7" -0.141189698543272 22
"CH.Ki67" "HLA.A7" 0.686000733161343 7
"CH.islet.freq" "HLA.A7" NA 8
"CH.islet.size" "HLA.A7" NA 7
"CR.age" "HLA.A7" -0.0323558762115636 22
"CR.height" "HLA.A7" 0.334447492498114 22
"CR.weight" "HLA.A7" 0.144424258302342 22
"CR.BMI" "HLA.A7" -0.0337988016697644 22
"CR.dbDuration" "HLA.A7" 0.331273787759555 14
"CR.ageOnset" "HLA.A7" 0.403462914986014 14
"CR.Cpeptide" "HLA.A7" -0.109137020137708 21
"CR.HbA1c" "HLA.A7" 0.718241744389439 6
"CR.peakGluc" "HLA.A7" 0.280062467821455 21
"HS" "HLA.A8" 0.37529019727058 9
"Col18" "HLA.A8" 0.34773852911163 7
"Sdc1" "HLA.A8" 0.0241792455593875 5
"Ins_x1" "HLA.A8" -0.119802442148779 9
"Gcg_x1" "HLA.A8" 0.211505853922489 7
"IP3R2" "HLA.A8" NA 1
"TOM20" "HLA.A8" NA 1
"MFN2" "HLA.A8" NA 1
"VDAC1" "HLA.A8" NA 1
"IP3R2.VDAC1" "HLA.A8" NA 1
"beta_Ins" "HLA.A8" 0.0855670644985235 5
"beta_cells" "HLA.A8" 0.213372288512295 16
"beta_area" "HLA.A8" 0.0750304737585254 16
"beta_mass" "HLA.A8" -0.137765416703863 13
"Nitrotyrosine" "HLA.A8" 0.211866263475405 6
"GLP1R.acinar_x1" "HLA.A8" NA 0
"GLP1R.islets_x1" "HLA.A8" NA 0
"GLP1R.acinar_x2" "HLA.A8" NA 0
"GLP1R.islets_x2" "HLA.A8" NA 0
"HLA.A1" "HLA.A8" 0.389123529106445 22
"HLA.A2" "HLA.A8" 0.599101410982021 22
"HLA.A3" "HLA.A8" 0.599101410982021 22
"HLA.A4" "HLA.A8" 0.36417688965272 22
"HLA.A5" "HLA.A8" 0.483607237706844 22
"HLA.A6" "HLA.A8" 0.433001097473466 22
"HLA.A7" "HLA.A8" 0.458839996678066 22
"HLA.A8" "HLA.A8" 1 22
"HLA.B1" "HLA.A8" -0.140389706226274 22
"HLA.B2" "HLA.A8" -0.072214217102287 22
"HLA.B3" "HLA.A8" 0.131518585878134 22
"HLA.B4" "HLA.A8" 0.368499031850493 22
"HLA.B5" "HLA.A8" 0.0217418880414869 22
"HLA.B6" "HLA.A8" 0.131726389665943 22
"HLA.C1" "HLA.A8" 0.473678934032884 22
"HLA.C2" "HLA.A8" 0.346904259514059 22
"HLA.C3" "HLA.A8" 0.343433775514842 22
"HLA.C4" "HLA.A8" 0.461630356898359 22
"HLA.C5" "HLA.A8" 0.273640910582127 22
"HLA.C6" "HLA.A8" 0.365634053131407 22
"HLA.C7" "HLA.A8" 0.378643142509411 22
"HLA.F1" "HLA.A8" 0.159007874490478 22
"HLA.F2" "HLA.A8" -0.0673461159817928 22
"HLA.F3" "HLA.A8" 0.144367832665218 22
"HLA.F4" "HLA.A8" 0.144367832665218 22
"HLA.F5" "HLA.A8" 0.245725785723989 22
"HLA.F6" "HLA.A8" 0.144367832665218 22
"HLA.F7" "HLA.A8" -0.308844324686199 22
"B2M" "HLA.A8" 0.565070139110521 22
"STAT1" "HLA.A8" -0.168985727893212 22
"IHC.score" "HLA.A8" -0.163356242729494 22
"ICI.score" "HLA.A8" 0.210297166995704 22
"GAD65" "HLA.A8" 0.256255924997336 5
"CD20_x1" "HLA.A8" 1 2
"CyclinD1" "HLA.A8" 0.206103822215989 7
"CyclinD3" "HLA.A8" 0.326813812000916 7
