Source,Contributors,Variable,Value,Description,Meta,Level,CellTissue,TissueContext,Complex,IndividualLevelData,Entrez,CHEBI,MPO,MPOLabel,EFO,EFOLabel,VarWithinD,VarDvsCTRL,Relevance,Levels,Method,MethodRef,MethodDetails,PrivateNote,Note,DataSource,DataSourceLink
PMID28877460,Wasserfall et al. (2017),Ins,pM/Protein (microgram/mL),Insulin ELISA normalized against total protein,,protein,islet of Langerhans,islet of Langerhans,0,Contact authors,,,,,,,1,1,,,ELISA,Wasserfall et al. (2017),"Acid-ethanol extraction of protein from randomly localized pancreatic blocks, determined and normalized against total protein.",,,,https://ars.els-cdn.com/content/image/1-s2.0-S1550413117304989-mmc2.xlsx
PMID28877460,Wasserfall et al. (2017),Proins,pM/Protein (microgram/mL),Proinsulin ELISA normalized against total protein,,protein,islet of Langerhans,islet of Langerhans,0,Contact authors,,,,,,,1,1,,,ELISA,Wasserfall et al. (2017),"Acid-ethanol extraction of protein from randomly localized pancreatic blocks, determined and normalized against total protein.",,,,https://ars.els-cdn.com/content/image/1-s2.0-S1550413117304989-mmc2.xlsx
PMID28877460,Wasserfall et al. (2017),Cpep,pM/Protein (microgram/mL),C-peptide ELISA normalized against total protein,,protein,islet of Langerhans,islet of Langerhans,0,Contact authors,,,,,,,1,1,,,ELISA,Wasserfall et al. (2017),"Acid-ethanol extraction of protein from randomly localized pancreatic blocks, determined and normalized against total protein.",,,,https://ars.els-cdn.com/content/image/1-s2.0-S1550413117304989-mmc2.xlsx
PMID28877460,Wasserfall et al. (2017),Iapp,pM/Protein (microgram/mL),Islet amyloid polypeptide ELISA normalized against total protein,,protein,islet of Langerhans,islet of Langerhans,0,Contact authors,,,,,,,1,1,,,ELISA,Wasserfall et al. (2017),"Acid-ethanol extraction of protein from randomly localized pancreatic blocks, determined and normalized against total protein.",,,,https://ars.els-cdn.com/content/image/1-s2.0-S1550413117304989-mmc2.xlsx
PMID28877460,Wasserfall et al. (2017),Gcg,pM/Protein (microgram/mL),Glucagon ELISA normalized against total protein,,protein,islet of Langerhans,islet of Langerhans,0,Contact authors,,,,,,,0,0,,,ELISA,Wasserfall et al. (2017),"Acid-ethanol extraction of protein from randomly localized pancreatic blocks, determined and normalized against total protein.",,,,https://ars.els-cdn.com/content/image/1-s2.0-S1550413117304989-mmc2.xlsx
PMID28877460,Wasserfall et al. (2017),Ins.cells,count,Insulin+ single cells,,cell,type B pancreatic cell,islet of Langerhans,0,Contact authors,,,,,,,1,1,,,immunostaining,Wasserfall et al. (2017),,,,,https://ars.els-cdn.com/content/image/1-s2.0-S1550413117304989-mmc2.xlsx
PMID28877460,Wasserfall et al. (2017),Ins.Ggc.cells,count,Glucagon+Insulin+ islets and Glucagon+Insulin- islets,,cell,islet of Langerhans,islet of Langerhans,0,Contact authors,,,,,,,1,1,,,immunostaining,Wasserfall et al. (2017),,,,,https://ars.els-cdn.com/content/image/1-s2.0-S1550413117304989-mmc2.xlsx
PMID28877460,Wasserfall et al. (2017),INS,mRNA expression,Insulin mRNA determined by situ hybridization,,transcript,islet of Langerhans,islet of Langerhans,0,Contact authors,,,,,,,1,1,,,immunostaining,Wasserfall et al. (2017),,,,,https://ars.els-cdn.com/content/image/1-s2.0-S1550413117304989-mmc2.xlsx
PMID28877460,Wasserfall et al. (2017),INS.2,Cq,Insulin mRNA,,transcript,islet of Langerhans,islet of Langerhans,0,Contact authors,,,,,,,1,1,"Low, but reproducible, levels of INS mRNA in T1D pancreata (lower than controls)",,qPCR,Wasserfall et al. (2017),,,,,https://ars.els-cdn.com/content/image/1-s2.0-S1550413117304989-mmc2.xlsx
PMID28877460,Wasserfall et al. (2017),INS.hnRNA,Cq,Insulin heterogeneous nuclear RNA,,transcript,islet of Langerhans,islet of Langerhans,0,Contact authors,,,,,,,1,1,"Very little, if any, de novo synthesis of INS hnRNA, indicating that the INS promoter was essentially silent in T1D pancreata",,qPCR,Wasserfall et al. (2017),,,,,https://ars.els-cdn.com/content/image/1-s2.0-S1550413117304989-mmc2.xlsx
PMID28877460,Wasserfall et al. (2017),INS.IGF2,Cq,INS-IGF2 mRNA,,transcript,islet of Langerhans,islet of Langerhans,0,Contact authors,,,,,,,1,1,No detectable mRNA indicates an inactive INS promoter since,,qPCR,Wasserfall et al. (2017),,,,,https://ars.els-cdn.com/content/image/1-s2.0-S1550413117304989-mmc2.xlsx
PMID28877460,Wasserfall et al. (2017),IAPP,Cq,islet amyloid polypeptide mRNA,,transcript,islet of Langerhans,islet of Langerhans,0,Contact authors,,,,,,,1,1,IAPP mRNA levels were substantially lower in T1D,,qPCR,Wasserfall et al. (2017),,,,,https://ars.els-cdn.com/content/image/1-s2.0-S1550413117304989-mmc2.xlsx
PMID28877460,Wasserfall et al. (2017),Gcg,Cq,Glucagon mRNA,,transcript,islet of Langerhans,islet of Langerhans,0,Contact authors,,,,,,,0,0,Similar levels in T1D and controls.,,qPCR,Wasserfall et al. (2017),,,,,https://ars.els-cdn.com/content/image/1-s2.0-S1550413117304989-mmc2.xlsx
PMID28877460,Wasserfall et al. (2017),SST,Cq,Somatostatin mRNA,,transcript,islet of Langerhans,islet of Langerhans,0,Contact authors,,,,,,,0,0,Similar levels in T1D and controls.,,qPCR,Wasserfall et al. (2017),,,,,https://ars.els-cdn.com/content/image/1-s2.0-S1550413117304989-mmc2.xlsx
PMID28877460,Wasserfall et al. (2017),PCSK1,Cq,prohormone convertase 1 mRNA,,transcript,islet of Langerhans,islet of Langerhans,0,Contact authors,,,,,,,1,1,mRNA expression was reduced among T1D pancreata compared to controls,,qPCR,Wasserfall et al. (2017),,,,,https://ars.els-cdn.com/content/image/1-s2.0-S1550413117304989-mmc2.xlsx
PMID28877460,Wasserfall et al. (2017),PCSK2,Cq,prohormone convertase 2 mRNA,,transcript,islet of Langerhans,islet of Langerhans,0,Contact authors,,,,,,,0,0,Similar levels in T1D and controls.,,qPCR,Wasserfall et al. (2017),,,,,https://ars.els-cdn.com/content/image/1-s2.0-S1550413117304989-mmc2.xlsx
PMID28877460,Wasserfall et al. (2017),CPE,Cq,carboxypetidase E mRNA,,transcript,islet of Langerhans,islet of Langerhans,0,Contact authors,,,,,,,0,0,Similar levels in T1D and controls.,,qPCR,Wasserfall et al. (2017),,,,,https://ars.els-cdn.com/content/image/1-s2.0-S1550413117304989-mmc2.xlsx
PMID28877460,Wasserfall et al. (2017),IFNg,Cq,IFNgamma mRNA,,transcript,islet of Langerhans,islet of Langerhans,0,Contact authors,,,,,,,,0,Undetectable in both T1D and controls,,qPCR,Wasserfall et al. (2017),,,,,https://ars.els-cdn.com/content/image/1-s2.0-S1550413117304989-mmc1.pdf
PMID28877460,Wasserfall et al. (2017),IL1b,Cq,IL1beta mRNA,,transcript,islet of Langerhans,islet of Langerhans,0,Contact authors,,,,,,,,0,Similar levels in T1D and controls.,,qPCR,Wasserfall et al. (2017),,,,,https://ars.els-cdn.com/content/image/1-s2.0-S1550413117304989-mmc1.pdf
PMID28877460,Wasserfall et al. (2017),TNFa,Cq,TNFalpha mRNA,,transcript,islet of Langerhans,islet of Langerhans,0,Contact authors,,,,,,,,0,Undetectable in approximately 30% of T1D and 50% of control samples,,qPCR,Wasserfall et al. (2017),,,,,https://ars.els-cdn.com/content/image/1-s2.0-S1550413117304989-mmc1.pdf
PMID28877460,Wasserfall et al. (2017),CALM1,Cq,CALM1 heterogeneous nuclear RNA,,transcript,islet of Langerhans,islet of Langerhans,0,Contact authors,,,,,,,0,0,Similar levels in T1D and controls,,qPCR,Wasserfall et al. (2017),,,,,https://ars.els-cdn.com/content/image/1-s2.0-S1550413117304989-mmc1.pdf
PMID28877460,Wasserfall et al. (2017),SPINK1,Cq,SPINK1 heterogeneous nuclear RNA,,transcript,islet of Langerhans,islet of Langerhans,0,Contact authors,,,,,,,0,0,Similar levels in T1D and controls,,qPCR,Wasserfall et al. (2017),,,,,https://ars.els-cdn.com/content/image/1-s2.0-S1550413117304989-mmc1.pdf
PMID28877460,Wasserfall et al. (2017),PPIA,Cq,PPIA heterogeneous nuclear RNA,,transcript,islet of Langerhans,islet of Langerhans,0,Contact authors,,,,,,,0,0,Similar levels in T1D and controls,,qPCR,Wasserfall et al. (2017),,,,,https://ars.els-cdn.com/content/image/1-s2.0-S1550413117304989-mmc1.pdf
PMID28877242,Nyalwidhe et al. (2017),Proteomics,LFQ intensity,"Proteomics of islet tissue, expression data for ~1500 proteins ",,protein,islet of Langerhans,islet of Langerhans,1,Yes,,,,,,,,1,,,LC/MS,Nyalwidhe et al. (2017),High resolution high mass accuracy label free quantitative mass spectrometry analysis was applied to islets isolated by laser capture microdissection.,,,S4 Table: Qualitative and quantitative comparisons between non-diabetes versus autoantibody cases and T1D cases.   ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5587329/bin/pone.0183908.s006.xlsx
PMID28782056,Moin et al. (2017),CgA.cells,%,Presence and frequency of CPHN cells identified by anti-chromogranin A staining (%CPHN of endocrine cells),,protein,pancreatic endocrine cell,islet of Langerhans,0,Contact authors,,,,,,,1* freq differs in adult but not children,0,,,immunostaining,,,,,,
PMID28782056,Moin et al. (2017),Ki67.CgA.cells,%,Frequency of replicating CPHN cells identified with Ki67+ staining,,protein,pancreatic endocrine cell,islet of Langerhans,0,Contact authors,,,,,,,1* freq differs in adult but not children,0,,,immunostaining,,,,,,
PMID28782056,Moin et al. (2017),Nkx61.CgA.cells,%,Frequency of replicating CPHN cells identified with endocrine markers by Nkx6.1+ staining and reported as % of CPHN cells,,protein,pancreatic endocrine cell,islet of Langerhans,0,Contact authors,,,,,,,1* freq differs in adult but not children,0,,,immunostaining,,,,,,
PMID28782056,Moin et al. (2017),Nkx22.CgA.cells,%,Frequency of replicating CPHN cells identified with endocrine markers by Nkx2.2+ staining and reported as % of CPHN cells,,protein,pancreatic endocrine cell,islet of Langerhans,0,Contact authors,,,,,,,1* freq differs in adult but not children,0,,,immunostaining,,,,,,
PMID28761107,Sebastiani et al. (2017),miRs.Treg.PLN,dCT,microRNA expression of Tregs from pancreatic lymph node (384 miRs measured),miRNA,RNA,regulatory T cell,pancreatic lymph node,1,Contact authors,,,,,,,,1,,,qPCR,Sebastiani et al. (2017),"Cycles to Threshold (Ct) of PCR and Ct are normalized (dCt) using small RNAs endogenous controls (RNU6A, RNU48, RNU44).",,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5537269/figure/Fig1/
PMID28761107,Sebastiani et al. (2017),miRs.Treg.PB,dCT,microRNA expression of Tregs from peripheral blood (384 miRs measured),miRNA,RNA,regulatory T cell_blood,blood,1,Contact authors,,,,,,,,1,,,qPCR,Sebastiani et al. (2017),"Cycles to Threshold (Ct) of PCR and Ct are normalized (dCt) using small RNAs endogenous controls (RNU6A, RNU48, RNU44)",,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5537269/figure/Fig1/
PMID28761107,Sebastiani et al. (2017),miR125.Treg.PB,2^-dCT,miR-125a-5p relative expression measured by real time-PCR in Treg cells purified from peripheral blood,miRNA,RNA,regulatory T cell_blood,blood,0,Contact authors,,,,,,,,1,,,qPCR,Sebastiani et al. (2017),"2^-delta cycle threshold (2-dCT) values normalized using three different small RNAs (RNU6, RNU44, RNU48).",,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5537269/figure/Fig2/
PMID28761107,Sebastiani et al. (2017),miR125.Treg.PLN,2^-dCT,miR-125a-5p relative expression measured by real time-PCR in Treg cells purified from pancreatic lymph node,miRNA,RNA,regulatory T cell,pancreatic lymph node,0,Contact authors,,,,,,,,1,,,qPCR,Sebastiani et al. (2017),"2^-delta cycle threshold (2-dCT) values normalized using three different small RNAs (RNU6, RNU44, RNU48).",,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5537269/figure/Fig2/
PMID28761107,Sebastiani et al. (2017),miR125.Tconv.PB,2^-dCT,miR-125a-5p relative expression measured by real time-PCR in Tconv cells purified from peripheral blood,miRNA,RNA,helper T cell_blood,blood,0,Contact authors,,,,,,,,1,,,qPCR,Sebastiani et al. (2017),"2^-delta cycle threshold (2-dCT) values normalized using three different small RNAs (RNU6, RNU44, RNU48).",,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5537269/figure/Fig2/
PMID28761107,Sebastiani et al. (2017),miR125.Tconv.PLN,2^-dCT,miR-125a-5p relative expression measured by real time-PCR in Tconv cells purified from pancreatic lymph node,miRNA,RNA,helper T cell,pancreatic lymph node,0,Contact authors,,,,,,,,1,,,qPCR,Sebastiani et al. (2017),"2^-delta cycle threshold (2-dCT) values normalized using three different small RNAs (RNU6, RNU44, RNU48).",,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5537269/figure/Fig2/
PMID28761107,Sebastiani et al. (2017),CCL2.Ins,% colocalization rate,Colocalization analysis between CCL2/Insulin by staining,,protein,type B pancreatic cell,islet of Langerhans,0,Contact authors,,,,,EFO:0004749,CCL2 measurement,,,,,,Sebastiani et al. (2017),,CCL2 is primarily expressed by insulin-producing cells in pancreatic islets and and might serve as potential attractant of CCR2-expressing cells.,,,
PMID28761107,Sebastiani et al. (2017),CCL2.Gcg,% colocalization rate,Colocalization analysis between CCL2/Glucagon by staining,,protein,pancreatic A cell,islet of Langerhans,0,Contact authors,,,,,EFO:0004749,CCL2 measurement,,,,,,Sebastiani et al. (2017),,,,,
PMID28742858,Thivolet et al. (2017),Ip3r2,pixels/islet,Expression of IP3R2 (as mean fluorescence intensity) in beta cells,mitochondria,protein,type B pancreatic cell,islet of Langerhans,0,Yes,3709,,,,,,,1,,,immunofluorescence,Thivolet et al. (2017),,,,"Table 2: Mean intensity levels in beta cells of IP3R2, TOM20, MFN-2 and VDAC-1 by indirect immunofluorescence and levels of ER-mitochondrial IP3R2-VDAC1 interactions quantified by in situ proximity ligation assay (PA).",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5526536/table/pone.0182027.t002/
PMID28742858,Thivolet et al. (2017),Tom20,pixels/islet,Expression of TOM20 (as mean fluorescence intensity) in beta cells,mitochondria,protein,type B pancreatic cell,islet of Langerhans,0,Yes,9804,,,,,,,1,,,immunofluorescence,Thivolet et al. (2017),,,,"Table 2: Mean intensity levels in beta cells of IP3R2, TOM20, MFN-2 and VDAC-1 by indirect immunofluorescence and levels of ER-mitochondrial IP3R2-VDAC1 interactions quantified by in situ proximity ligation assay (PA).",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5526536/table/pone.0182027.t002/
PMID28742858,Thivolet et al. (2017),Mfn2,pixels/islet,Expression of MFN-2 (as mean fluorescence intensity) in beta cells,mitochondria,protein,type B pancreatic cell,islet of Langerhans,0,Yes,9927,,,,,,,1,,,immunofluorescence,Thivolet et al. (2017),,,,"Table 2: Mean intensity levels in beta cells of IP3R2, TOM20, MFN-2 and VDAC-1 by indirect immunofluorescence and levels of ER-mitochondrial IP3R2-VDAC1 interactions quantified by in situ proximity ligation assay (PA).",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5526536/table/pone.0182027.t002/
PMID28742858,Thivolet et al. (2017),Vdac1,pixels/islet,Expression of VDAC-1 (as mean fluorescence intensity) in beta cells,mitochondria,protein,type B pancreatic cell,islet of Langerhans,0,Yes,7416,,,,,,,1,,,immunofluorescence,Thivolet et al. (2017),,,,"Table 2: Mean intensity levels in beta cells of IP3R2, TOM20, MFN-2 and VDAC-1 by indirect immunofluorescence and levels of ER-mitochondrial IP3R2-VDAC1 interactions quantified by in situ proximity ligation assay (PA).",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5526536/table/pone.0182027.t002/
PMID28742858,Thivolet et al. (2017),Ip3r2.Vdac1,dots/nucleus,Levels of ER-mitochondrial IP3R2-VDAC1 interactions (quantified by in situ proximity ligation) in beta cells,mitochondria,protein,type B pancreatic cell,islet of Langerhans,0,Yes,,,,,,,,1,,,in situ proximity ligation assay (PLA),Thivolet et al. (2017),"Duolink II in situ proximity ligation assay (PLA) (Olink Bioscience, Uppsala Sweden) enables  detection, visualization, and quantification of protein interactions (<40 nm) as an individual dot by microscopy. Dots were quantified in each islet using the Zen program and Fiji-ImageJ software and expressed as percentage of dots per nucleus. Each dot corresponds to one VDAC-1-IP3R2 interaction closer than 40nm.",,,"Table 2: Mean intensity levels in beta cells of IP3R2, TOM20, MFN-2 and VDAC-1 by indirect immunofluorescence and levels of ER-mitochondrial IP3R2-VDAC1 interactions quantified by in situ proximity ligation assay (PA).",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5526536/table/pone.0182027.t002/
PMID28679961,Schludi et al. (2017),panIN,PanIN lesions/(mm^2 tissue*10^3),Pancreatic Intraepithelial Neoplasia lesions scored for density by group-blinded visual evaluation of stained sections,,cell,pancreas,pancreas,0,Contact authors,,,,,,,,1,PanIN is increased and correlated with higher pancreatic duct gland proliferation in T2D vs controls,,,Schludi et al. (2017),"To identify and score the PanIN lesion density, 6 pancreatic sections were evaluated per case by an experienced pancreatic pathologist (DD) blinded to the group. Two sections were evaluated from the head, body, and tail of the pancreas from each case, one of which was stained with Alcian blue and for insulin and Ki67, and the other by H&E.",,,,
PMID28679961,Schludi et al. (2017),density.PDG,PDG cells/mm^2,Pancreatic duct gland density characterized by group-blinded visual evaluation of stained sections,,cell,pancreas exocrine glandular cell,pancreas,0,Contact authors,,,,,,,,0,"PDGs in human pancreas are present in the head, body, and tail with a comparable abundance in individuals with T2DM and ND controls",,,Schludi et al. (2017),,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5499368/figure/F2/
PMID28679961,Schludi et al. (2017),replication.PDG,Ki67+ PDG cells/mm^2,Pancreatic duct gland replication characterized by staining for Ki67+ PDGs,,cell,pancreas exocrine glandular cell,pancreas,0,Contact authors,,,,,,,,1,PDG replication was increased 2-fold in T2D vs controls and associated with increased pancreatic intraepithelial neoplasia,,,Schludi et al. (2017),,,,,
PMID28679961,Schludi et al. (2017),replication.interduct,Ki67+ interlobular duct cells/mm^2,Interlobular duct cell replication characterized by staining for Ki67+ duct cells,,cell,pancreatic ductal cell,pancreas,0,Contact authors,,,,,,,,1,Frequency of interlobular duct cells is increased in T2DM vs controls,,,Schludi et al. (2017),,,,,
PMID28679961,Schludi et al. (2017),replication.intraduct,Ki67+ intralobular duct cells/mm^2,Intralobular duct cell replication characterized by staining for Ki67+ duct cells,,cell,pancreatic ductal cell,pancreas,0,Contact authors,,,,,,,,0,No difference between T2D vs controls in replication of intralobular duct cells,,,Schludi et al. (2017),,,,,
PMID28614797,Rodnoi et al. (2017),Npy,,NPY expression in beta cells/pancreatic tissue characterized by staining,beta cell dedifferentiation,protein,type B pancreatic cell,pancreas,0,Contact authors,,,,,,,,1,NPY expression likely promotes replication and contributes to impaired glucose responsiveness in neonatal beta cells; NPY is reexpressed in a subset of beta cells in both T1D and T2D and correlated with greater residual beta cells,,immunostaining,Rodnoi et al. (2017),,,,Supplemental Figure 7,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5470892/bin/jciinsight-2-94005-s001.pdf
PMID28581443,Waqas et al. (2017),NPFF,Relative expression,NPFF gene expression profiling in islet tissue ,,transcript,islet of Langerhans,islet of Langerhans,0,Contact authors,,,,,,,,1,Relative transcription of NPFF was reduced in pancreatic islets of T1DM patients,,Affymetrix expression array,Waqas et al. (2017),,"All islets in 2–5 sections of tissue from each nPOD donor were laser-captured, pooled and RNA extracted. Samples with sufficient quantity and quality of RNA were then subjected to gene expression analysis using Affymetrix expression arrays.",,Supplemental Figure 6(H): Distribution of NPFF in mouse and human pancreatic islets,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5490745/bin/jci-127-90152-s001.pdf
PMID28428323,Jackson et al. (2017),CD3.cells,count,Insulitis measured as mean CD3+ cells per infiltrated islet,,cell,T cell,islet of Langerhans,0,Yes,,,,,,,,,,,,Campbell-Thompson et al. (2016),,,,,
PMID28428323,Jackson et al. (2017),beta.mass,g,Beta cell mass,,cell,type B pancreatic cell,islet of Langerhans,0,Yes,,,,,,,,,,,,Campbell-Thompson et al. (2016),,,,,
PMID28380380,van der Meulen et al. (2017),Ucn3,,Expression of Urocortin3 (UCN3) in beta cells (stained images only),beta cell transdifferentation,protein,type B pancreatic cell,islet of Langerhans,0,Contact authors,114131,,,,,,,,Ucn3-negative beta cells are virgin beta cells that represent an intermediate stage in the transdifferentiation of alpha cells into mature beta cells,,immunostaining,van der Meulen et al. (2017),,,,Figure 5. UCN3-Negative Beta Cells Are Present in Human Islets of Young and Adult Donors and Donors with T1D,https://www.sciencedirect.com/science/article/pii/S1550413117301699?via%3Dihub#fig5
PMID28380379,Aguayo-Mazzucato et al. (2017),Igfr1,,"IGFR1 expression (staining intensity, scale 0-3) as a marker of aging in beta cell",aging,protein,type B pancreatic cell,islet of Langerhans,0,Contact authors,,,,,,,1,1,,,immunostaining,Aguayo-Mazzucato et al. (2017),,,,,https://ars.els-cdn.com/content/image/1-s2.0-S1550413117301675-mmc1.pdf
PMID28380379,Aguayo-Mazzucato et al. (2017),P53bp1,,P53BP1 expression (staining intensity)  as a marker of aging in beta cell,aging,protein,type B pancreatic cell,islet of Langerhans,0,Contact authors,7158,,,,,,1,0,,,immunostaining,Aguayo-Mazzucato et al. (2017),,,,,https://ars.els-cdn.com/content/image/1-s2.0-S1550413117301675-mmc1.pdf
PMID28325643,Anquetil et al. (2017),IL1b,%,IL1beta mRNA expression measured by in situ hyridization and reported as percentage of the positive area within the islet boundary,,transcript,islet of Langerhans,islet of Langerhans,0,Contact authors,,,,,EFO:0004812,interleukin-1 beta measurement,0,0, IL-1beta mRNA expression is independent of BMI and disease status,,ISH,Anquetil et al. (2017),mRNA expression was quantified with RNAscope 2.0 High Definition BROWN Assay.,,,,
PMID28325643,Anquetil et al. (2017),Il1b,MIP-MIN,"Il1b protein expresson reported as difference of the mean intensity in the positive area (MIP) and the mean intensity in the negative area (MIN, background)",,protein,islet of Langerhans,islet of Langerhans,0,Contact authors,,,,,EFO:0004812,interleukin-1 beta measurement,0,0, IL-1beta mRNA expression is independent of BMI and disease status,,IF,Anquetil et al. (2017),,,,,
PMID28323930,Lam et al. (2017),Ins.cells,count,Count of total Insulin+ beta cells,beta cell persistence,cell,type B pancreatic cell,islet of Langerhans,0,Yes,,,MP:0009255,degranulated pancreatic beta cells,,,1,1,,,,Lam et al. (2017),,,,Supplemental Table 10: Beta-cell death.,https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/jcem/102/8/10.1210_jc.2016-3806/1/jc.2016-3806_Supplemental_Table_1-14.xlsx?Expires=1521155148&Signature=Gl0xp87IMGbQE1zah6aRz-lHuJU6ffk0HGoiq-oF6VVKtfJMtBt9MkR9IKlsXA52~vD7IHsYpcLfBqQlABbYBTEF3suFfag97PErpOI4RGmtWWyEmBHAL2Js~KJ9hkRlQrp5ixDZwcR0olmiw6r1KSi8HEC0kevDRHLUwvaoX6dscyNQLeQiIEMp9WrQ4ZFbuI1COfilS5lrmjJUMIPNSJb5bAXRRP8DK1ZWpcuIY-D7AsBCjk56Tgthn51YggrJrMrLvv0smQndo7rmdiIIFoal8NddkpmAI~S31r5bktI2NYjXES71~gcyFol1fFVb-QkzI30UT6GOhWLCON~Hdw__&Key-Pair-Id=APKAIUCZBIA4LVPAVW3Q
PMID28323930,Lam et al. (2017),TUNEL.Ins.cells,%,Quantification of beta cell turnover by measurement of TUNEL+ Ins+ beta-cells and reported as % total cells,beta cell neogenesis,cell,type B pancreatic cell,islet of Langerhans,0,Yes,,,,,,,0,0,,,,Lam et al. (2017),,,,Supplemental Table 10: Beta-cell death.,https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/jcem/102/8/10.1210_jc.2016-3806/1/jc.2016-3806_Supplemental_Table_1-14.xlsx?Expires=1521155148&Signature=Gl0xp87IMGbQE1zah6aRz-lHuJU6ffk0HGoiq-oF6VVKtfJMtBt9MkR9IKlsXA52~vD7IHsYpcLfBqQlABbYBTEF3suFfag97PErpOI4RGmtWWyEmBHAL2Js~KJ9hkRlQrp5ixDZwcR0olmiw6r1KSi8HEC0kevDRHLUwvaoX6dscyNQLeQiIEMp9WrQ4ZFbuI1COfilS5lrmjJUMIPNSJb5bAXRRP8DK1ZWpcuIY-D7AsBCjk56Tgthn51YggrJrMrLvv0smQndo7rmdiIIFoal8NddkpmAI~S31r5bktI2NYjXES71~gcyFol1fFVb-QkzI30UT6GOhWLCON~Hdw__&Key-Pair-Id=APKAIUCZBIA4LVPAVW3Q
PMID28323930,Lam et al. (2017),Ins.cells,count,Count of beta cells,,cell,type B pancreatic cell,islet of Langerhans,0,Yes,,,MP:0020578,abnormal pancreatic beta cell number,,,1,1,,,,Lam et al. (2017),,,,Supplemental Table 4: Non-diabetic beta-cell area and mass. & Supplemental Table 5: T1D beta-cell area and mass.,https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/jcem/102/8/10.1210_jc.2016-3806/1/jc.2016-3806_Supplemental_Table_1-14.xlsx?Expires=1521155148&Signature=Gl0xp87IMGbQE1zah6aRz-lHuJU6ffk0HGoiq-oF6VVKtfJMtBt9MkR9IKlsXA52~vD7IHsYpcLfBqQlABbYBTEF3suFfag97PErpOI4RGmtWWyEmBHAL2Js~KJ9hkRlQrp5ixDZwcR0olmiw6r1KSi8HEC0kevDRHLUwvaoX6dscyNQLeQiIEMp9WrQ4ZFbuI1COfilS5lrmjJUMIPNSJb5bAXRRP8DK1ZWpcuIY-D7AsBCjk56Tgthn51YggrJrMrLvv0smQndo7rmdiIIFoal8NddkpmAI~S31r5bktI2NYjXES71~gcyFol1fFVb-QkzI30UT6GOhWLCON~Hdw__&Key-Pair-Id=APKAIUCZBIA4LVPAVW3Q
PMID28323930,Lam et al. (2017),Ki67.Ins.cells,%,Quantification of beta cell proliferation by Ki67+ staining and reported as % of total cells,beta cell neogenesis,cell,type B pancreatic cell,islet of Langerhans,0,Yes,,,MP:0011818,abnormal pancreatic beta cell proliferation,,,0,0,,,IF,Lam et al. (2017),,,,Supplemental Table 7: Individual ?-cell and acinar cell proliferation from non-diabetic pancreata. & Supplemental Table 8: Individual ?-cell and acinar cell proliferation from T1D pancreta.,https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/jcem/102/8/10.1210_jc.2016-3806/1/jc.2016-3806_Supplemental_Table_1-14.xlsx?Expires=1521155148&Signature=Gl0xp87IMGbQE1zah6aRz-lHuJU6ffk0HGoiq-oF6VVKtfJMtBt9MkR9IKlsXA52~vD7IHsYpcLfBqQlABbYBTEF3suFfag97PErpOI4RGmtWWyEmBHAL2Js~KJ9hkRlQrp5ixDZwcR0olmiw6r1KSi8HEC0kevDRHLUwvaoX6dscyNQLeQiIEMp9WrQ4ZFbuI1COfilS5lrmjJUMIPNSJb5bAXRRP8DK1ZWpcuIY-D7AsBCjk56Tgthn51YggrJrMrLvv0smQndo7rmdiIIFoal8NddkpmAI~S31r5bktI2NYjXES71~gcyFol1fFVb-QkzI30UT6GOhWLCON~Hdw__&Key-Pair-Id=APKAIUCZBIA4LVPAVW3Q
