Table S1. 5368 protein groups identified in pancreatic tissue.																									
Majority protein IDs	Protein names	Gene names	Mol. weight [kDa]	Sequence coverage [%]	Peptides	Unique peptides	Score	Q-value	HC_1 reporter ion intensity	HC_2 reporter ion intensity	HC_3 reporter ion intensity	HC_4 reporter ion intensity	HC_5 reporter ion intensity	T1D_1 reporter ion intensity	T1D_2 reporter ion intensity	T1D_3 reporter ion intensity	T1D_4 reporter ion intensity	T1D_5 reporter ion intensity	BCGA_microarray data_ductal cells	BCGA_microarray data_exocrine pancreas	BCGA_microarray data_pancreatic islets	BCGA_microarray data_primary beta cells	Identified in Kim et al (2014)_pancreas proteome researched by MaxQuant	Pancreas enriched proteinsa in Kim et al (2014)	Pancreas enriched proteins in Uhlén et al (2015)
M0R140		RPS19	11.051	49	11	2	1.8049	0.0098927	5055.2	8712.6	5924.2	3329.6	9757.3	4429.7	7340.1	6121.3	7872.2	4815.5	Enriched	Enriched	Enriched	Enriched	YES		
M0R3D6;M0R1A7;Q02543;M0R117;M0R0P7	60S ribosomal protein L18a	RPL18A	16.714	56.7	16	16	33.196	0	43813	27128	35137	33092	45345	35978	90271	61575	33738	38994	Enriched	Enriched	Enriched	Enriched	YES		
M0R1I1		TUBB4A	7.7774	35.1	9	5	11.384	0	32082	22506	27430	36510	32461	40454	30279	18856	18746	30224					YES		
M0R1Q1		C3	11.239	35.9	4	2	4.2991	0.00062906	1303	1937.8	2366.3	732.9	2486.5	1464.8	4575	7742.3	6800.7	2124.6	Enriched	Enriched	Enriched	No expression	YES		
M0R1T5;O43633	Charged multivesicular body protein 2a	CHMP2A	24.781	15.9	8	8	77.49	0	11831	12669	17997	13625	17919	14923	24773	35759	17251	22760	Moderate	Enriched	Enriched	Enriched	YES		
M0R208;Q16740	ATP-dependent Clp protease proteolytic subunit;ATP-dependent Clp protease proteolytic subunit, mitochondrial	CLPP	20.568	21.6	4	4	14.318	0	6180.6	4167.6	4737.9	8939.3	5830.1	7213.1	10383	17560	7097.1	9768.1	Low	Enriched	Enriched	Low	YES		
M0R248		ECH1	29.139	35.2	20	2	3.162	0.0007654	2978.3	2259.8	2310.7	1724	3638.6	1998.7	2558.3	2027.7	2092.7	3014.7	Moderate	Enriched	Enriched	Enriched	YES		
M0R268;P09012;M0QXK2;M0R221;M0R2B8	U1 small nuclear ribonucleoprotein A	SNRPA	28.388	10.5	3	2	2.0153	0.0077108	7106.4	9257.9	7968.9	3935.3	10906	3962.8	8942.2	9117	8066.8	7075.4	Low	Enriched	Enriched	Enriched	YES		
M0R2A0;Q5UCC4-2;Q5UCC4	ER membrane protein complex subunit 10	EMC10	38.975	8.4	4	4	3.818	0.00060618	10906	7851.9	8839.2	10062	12044	8274.7	7703.3	8332.5	4289.5	8186.7							
M0R2B0;M0R2U2;M0R1H0		FBL	18.198	34.6	11	2	27.289	0	8467	5858.7	6133.2	4886.4	8674.2	7303.7	5853.1	5030.5	2432.2	7249.8	Enriched	Enriched	Enriched	Enriched	YES		
M0R2K9;Q14318;Q14318-2;M0R1Q0;M0R1S6;M0R2Q6	Peptidyl-prolyl cis-trans isomerase;Peptidyl-prolyl cis-trans isomerase FKBP8	FKBP8	27.527	11.3	2	2	75.56	0	5456.9	7092.8	6178.7	6193.7	7310.8	6911.8	11804	14762	6161.6	9219.3	Enriched	Moderate	Moderate	Low	YES		
M0R2T0		HNRNPM	38.226	52.9	39	1	2.772	0.0023999	16735	18211	27767	7046.7	34691	13594	15796	7059	6123.1	10169	No expression	Enriched	Enriched	Enriched	YES		
M0R2X2;Q7Z3K3-4;Q7Z3K3-5;Q7Z3K3-7;Q7Z3K3-2;Q7Z3K3-3;Q7Z3K3-6;Q7Z3K3	Pogo transposable element with ZNF domain	POGZ	11.203	11.9	2	2	4.5132	0.00042472	2690	3242.4	4511	1469.8	4534.6	849.98	2231.7	1943.5	2510.3	2616.7	Enriched	Enriched	Enriched	Enriched	YES		
O00115-2;O00115	Deoxyribonuclease-2-alpha	DNASE2	33.615	3.6	1	1	2.1163	0.0062543	3098.1	3036	3323.5	2284	4269.2	1899.7	2807.9	2182.9	2140.7	2281	Enriched	Enriched	Enriched	Low	YES		
O00116	Alkyldihydroxyacetonephosphate synthase, peroxisomal	AGPS	72.911	16.4	9	9	115.03	0	23776	16894	16244	22243	18001	14440	18335	24773	11568	26450	Moderate	Enriched	Moderate	Moderate	YES		
O00148	ATP-dependent RNA helicase DDX39A	DDX39A	49.129	23.4	22	1	2.2756	0.0049461	7065.3	3543.6	3642.9	5260.2	5082.4	4425.2	5642.8	6261.9	2094.3	5877.2							
O00151	PDZ and LIM domain protein 1	PDLIM1	36.071	36.5	17	17	55.037	0	25377	20575	21653	19755	25353	14442	25874	22223	32526	23772	Enriched	Enriched	Enriched	Enriched	YES		
O00160	Unconventional myosin-If	MYO1F	124.84	5	6	4	4.4534	0.00042355	6376.9	4650.1	6554.9	9839.2	5170.3	7207.9	9283.4	11696	6500.1	9650.4	Enriched	Low	Low	Moderate	YES		
O00161;O00161-2;H3BNE1;H3BR18;H3BM38;H3BPJ0;H3BV99;H3BP15;H3BQY9	Synaptosomal-associated protein 23;Synaptosomal-associated protein	SNAP23	23.354	52.1	12	12	103.25	0	76770	65392	74658	71105	72129	86399	112960	98192	49564	116770	Enriched	Enriched	Enriched	No expression	YES		
O00165-5;O00165;O00165-2;O00165-3;E9PIQ7;Q5VYD6	HCLS1-associated protein X-1	HAX1	26.099	35.1	8	8	15.045	0	17489	9477.1	12341	13498	14512	25142	13602	10639	6528.9	12873	Enriched	Enriched	Enriched	Enriched	YES		
O00170;E9PMH2	AH receptor-interacting protein	AIP	37.636	17.3	5	5	12.706	0	26365	22579	24843	28676	29270	22988	22777	39275	12843	28112	Enriched	Enriched	Enriched	Moderate	YES		
O00178	GTP-binding protein 1	GTPBP1	72.453	14.9	9	9	23.412	0	31791	23529	24660	27341	29826	33353	41316	42562	20878	37528	Moderate	Enriched	Enriched	Moderate	YES		
O00182-2;O00182	Galectin-9	LGALS9	35.888	3.7	1	1	3.0053	0.001506	6249	4676.3	4577.8	6971.7	5713.9	4986	4805	3319.5	1621.8	4832.7	Enriched	Low	Moderate	Enriched	YES		
O00186	Syntaxin-binding protein 3	STXBP3	67.764	18.2	13	13	59.118	0	49193	32202	36134	42656	41100	45853	38362	48316	21780	49701	Moderate	Moderate	Enriched	Enriched	YES		
O00193;E9PM92	Small acidic protein	SMAP;C11orf58	20.332	35.5	17	17	181.21	0	78852	61620	95617	50525	109080	70268	92311	106750	48513	75666	No expression	Enriched	Enriched	Moderate			
O00203;O00203-3	AP-3 complex subunit beta-1	AP3B1	121.32	25.3	33	30	113.68	0	142300	95474	103330	115340	139620	133120	110850	121090	57917	114830	Low	Enriched	Enriched	Enriched	YES		
O00217;E9PPW7;E9PKH6	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	NDUFS8	23.705	26.2	8	8	26.21	0	85699	54868	56567	51745	70951	69759	76829	106930	30730	64567	Enriched	Enriched	Enriched	Moderate	YES		
O00231;O00231-2	26S proteasome non-ATPase regulatory subunit 11	PSMD11	47.463	47.6	32	32	94.046	0	109370	85298	103440	97230	132920	118070	130860	118690	68103	101360	Low	Enriched	Enriched	No expression	YES		
O00232;O00232-2	26S proteasome non-ATPase regulatory subunit 12	PSMD12	52.904	31.4	26	26	144.25	0	138150	110450	136280	139300	148440	126890	125340	144940	62057	131540	Moderate	Enriched	Enriched	Moderate	YES		
O00264;O00264-2	Membrane-associated progesterone receptor component 1	PGRMC1	21.671	15.9	5	5	9.0516	0	10188	17903	15071	8024.6	12258	11596	20735	29544	12233	13688	Enriched	Enriched	Enriched	Enriched	YES		
O00267-2;O00267;A0A0A0MSV0	Transcription elongation factor SPT5	SUPT5H	120.5	11.6	11	11	30.051	0	47687	32048	40530	38209	44569	53134	69731	65869	31876	53625	Enriched	Enriched	Enriched	Enriched	YES		
O00273;O00273-2	DNA fragmentation factor subunit alpha	DFFA	36.521	18.7	5	5	11.625	0	31780	20959	29668	21530	31986	29060	37364	17567	23548	31265	Moderate	Enriched	Enriched	Moderate	YES		
O00299	Chloride intracellular channel protein 1	CLIC1	26.922	51.5	22	22	206.42	0	116470	80714	96116	138910	94864	113400	130830	163670	86188	135510	Enriched	Enriched	Enriched	Enriched	YES		
O00303;H0YDT6	Eukaryotic translation initiation factor 3 subunit F	EIF3F	37.563	31.1	12	12	30.365	0	85711	44675	70384	61407	74267	80317	69210	70506	32202	61957	No expression	Enriched	Enriched	Enriched	YES		
O00308-2;O00308;O00308-3	NEDD4-like E3 ubiquitin-protein ligase WWP2	WWP2	86.307	4.4	3	2	6.0151	0	7491.2	6610.8	6713.7	6241.3	7958.3	6942.2	7389.3	7810.4	5202.3	8001.9	Enriched	Enriched	Enriched	Low			
O00330-3;O00330	Pyruvate dehydrogenase protein X component, mitochondrial	PDHX	51.459	20.4	9	9	43.353	0	23249	19038	21422	20550	24573	27973	23822	25828	12604	27576	Moderate	Moderate	Enriched	Moderate	YES		
O00339-3;O00339-2;O00339;H0YBJ4;O00339-4;H0YBN2	Matrilin-2	MATN2	102.23	5.2	4	4	7.4792	0	2485.8	2418.7	4842.4	2421.1	5403.8	5117.4	6233.4	2671.1	2368	3287.3	Enriched	Low	Moderate	No expression	YES		
O00391-2;O00391	Sulfhydryl oxidase 1	QSOX1	66.86	5.1	3	3	4.1996	0.00062396	14420	13053	14275	16315	13809	11517	12161	12436	5964.4	14230	Enriched	Enriched	Enriched	Moderate	YES		
O00399	Dynactin subunit 6	DCTN6	20.747	14.2	6	6	12.621	0	26198	26198	24057	18945	37411	15268	25941	14942	33820	26028	Moderate	Enriched	Enriched	Enriched	YES		
O00400;H7C562	Acetyl-coenzyme A transporter 1	SLC33A1	60.908	9.5	5	5	8.0287	0	36798	26801	29445	34779	43849	30608	28640	30784	14644	32347	Moderate	Enriched	Enriched	Enriched	YES		
O00401	Neural Wiskott-Aldrich syndrome protein	WASL	54.826	11.3	4	4	11.717	0	34484	19122	24067	34433	24110	41024	48946	33036	25155	38864	Moderate	Enriched	Enriched	No expression	YES		
O00410;O00410-3;H0Y8C6;O00410-2	Importin-5	IPO5	123.63	22.2	31	30	212.86	0	134390	80155	102860	144600	117050	141000	132190	168380	60048	125740	Enriched	Enriched	Enriched	Moderate	YES		
O00418;H3BRH4	Eukaryotic elongation factor 2 kinase	EEF2K	82.143	3	2	2	5.3881	0	6823.9	6661.3	7011.9	5127.4	10220	5997.8	12677	8733.1	18873	8846.5	Enriched	Enriched	Enriched	No expression	YES		
O00429;O00429-6;O00429-3;O00429-7	Dynamin-1-like protein	DNM1L	81.876	32.5	26	1	92.923	0	8320.4	8919.1	10923	7981.1	11297	6333.1	7743.8	7190.6	9358.4	8257.4	Enriched	Enriched	Enriched	Low	YES		
O00442;O00442-2	RNA 3-terminal phosphate cyclase	RTCA	39.336	32.8	21	21	46.902	0	109190	65185	95116	92128	99542	108380	108300	104760	60445	91931					YES		
O00458;C9JA65;O00458-2;E9PMY4;C9JNM6	Interferon-related developmental regulator 1	IFRD1	50.268	10	4	4	88.299	0	3782.8	3847.4	3918.3	3548.4	5937.5	3333.5	5428.6	4230.9	4540	5352.7	Enriched	Enriched	Enriched	Enriched			
O00468-6;O00468-7;O00468-3;O00468-5;O00468-4;O00468;A0A087X208;O00468-2	Agrin;Agrin N-terminal 110 kDa subunit;Agrin C-terminal 110 kDa subunit;Agrin C-terminal 90 kDa fragment;Agrin C-terminal 22 kDa fragment	AGRN	214.84	27.5	65	65	323.31	0	300850	272290	367340	271380	448860	236660	363600	334710	193550	296850	Enriched	Enriched	Enriched	Enriched	YES		
O00479	High mobility group nucleosome-binding domain-containing protein 4	HMGN4	9.5388	31.1	7	7	69.543	0	7067.7	5055.3	7648.9	5697.7	9789.1	10015	108990	29096	91102	37481	Enriched	Enriched	Enriched	Enriched	YES		
O00483	Cytochrome c oxidase subunit NDUFA4	NDUFA4	9.3697	44.4	5	5	10.318	0	14679	9882.2	11515	13671	10872	12933	39465	19045	17633	17919	Enriched	Enriched	Enriched	No expression	YES		
O00487	26S proteasome non-ATPase regulatory subunit 14	PSMD14	34.577	18.4	7	7	37.828	0	17919	17291	23792	11150	29265	21139	56436	47701	18145	19383	Enriched	Enriched	Enriched	Enriched	YES		
O00488	Zinc finger protein 593	ZNF593	15.199	13.4	1	1	3.0842	0.0011381	2359.9	967.74	1662	2198.8	1803.2	4343.9	1797.8	1520.8	523.35	1911.7	Enriched	Enriched	Enriched	No expression	YES		
O00499-9;O00499-10;O00499-7;O00499-8;O00499-4;O00499-6;O00499-11;O00499-3;O00499-2;O00499-5;O00499	Myc box-dependent-interacting protein 1	BIN1	45.563	17.8	7	7	60.093	0	55214	47779	49189	49008	51091	60716	88547	91971	30525	56227	Enriched	Enriched	Moderate	Moderate	YES		
O00505	Importin subunit alpha-4	KPNA3	57.81	8.1	6	2	3.0505	0.0013253	2049.9	1889.7	1239.7	1457.2	2211.6	379.71	1039.5	771.11	1140.3	1506.2	Enriched	Enriched	Enriched	Low	YES		
O00515;E9PDI4	Ladinin-1	LAD1	57.13	29.2	19	19	168.27	0	57964	55724	53658	70419	70889	52953	84698	71484	57476	79790	Enriched	Enriched	Enriched	Enriched	YES		
O00519	Fatty-acid amide hydrolase 1	FAAH	63.065	11.7	7	7	18.537	0	16627	11693	13628	12770	23287	14448	9992.4	8324	6522.7	8433.3	No expression	Moderate	Moderate	Low	YES		
O00534	von Willebrand factor A domain-containing protein 5A	VWA5A	86.488	13.2	12	12	55.873	0	31708	27860	36320	33525	42237	18227	25803	19997	17749	25537	Enriched	Enriched	Enriched	Enriched	YES		
O00566;U3KQ48	U3 small nucleolar ribonucleoprotein protein MPP10	MPHOSPH10	78.863	4.1	2	2	6.0618	0	6608.5	4384.6	6013.5	6547.9	5903.3	6170	18031	6590	21234	12762	Enriched	Moderate	Moderate	Enriched	YES		
O00567	Nucleolar protein 56	NOP56	66.049	41.2	45	45	224.22	0	296290	188800	245280	279440	312140	281730	232280	260400	112630	275280	Enriched	Enriched	Enriched	Enriched	YES		
O00571;O00571-2	ATP-dependent RNA helicase DDX3X	DDX3X	73.243	42	41	10	185.47	0	248190	130170	165560	243560	180330	224560	322300	348210	155340	235230	Enriched	Enriched	Enriched	Moderate	YES		
O00592-2;O00592	Podocalyxin	PODXL	55.385	5.9	4	4	8.9108	0	14302	9880.6	14079	11227	24814	15048	15060	13539	5546.3	15644	Low	Enriched	Enriched	Enriched	YES		
O00625	Pirin	PIR	32.113	7.9	2	2	3.6349	0.00079697	3238.6	2798.5	3263.8	6848.9	3567.3	3141.7	4155.4	5296.9	3159.4	6231	No expression	No expression	Moderate	Moderate	YES		
O00629	Importin subunit alpha-3	KPNA4	57.886	12.1	8	0	23.136	0	55956	61791	55561	48624	65610	29376	40501	42279	22451	42926	Enriched	Enriched	Enriched	Enriched	YES		
O00743-2;O00743;O00743-3	Serine/threonine-protein phosphatase 6 catalytic subunit;Serine/threonine-protein phosphatase 6 catalytic subunit, N-terminally processed	PPP6C	32.532	20.5	5	4	5.8629	0	22358	19610	23198	12593	18965	12324	32521	18899	21701	17583	Enriched	Enriched	Enriched	Enriched	YES		
O00754-2;O00754	Lysosomal alpha-mannosidase;Lysosomal alpha-mannosidase A peptide;Lysosomal alpha-mannosidase B peptide;Lysosomal alpha-mannosidase C peptide;Lysosomal alpha-mannosidase D peptide;Lysosomal alpha-mannosidase E peptide	MAN2B1	113.61	9.9	11	11	56.635	0	43131	35807	37167	47005	36933	39662	33443	44803	18930	42026	Enriched	Enriched	Enriched	Moderate	YES		
O00763-3;O00763-2;O00763	Acetyl-CoA carboxylase 2;Biotin carboxylase	ACACB	255.09	3.3	6	2	12.156	0	18661	14702	16748	24199	18550	17254	16309	18896	9951.2	24412	Moderate	Enriched	Enriched	Moderate	YES		
O00764;F2Z2Y4;O00764-2;O00764-3	Pyridoxal kinase	PDXK	35.102	38.5	25	25	102.72	0	125220	102350	134790	111930	164190	117350	155160	136240	81447	119030	Enriched	Enriched	Enriched	Moderate	YES		
O00767	Acyl-CoA desaturase	SCD	41.522	3.6	1	1	11.147	0	4108.5	5685.5	4952.7	11207	5475.4	3252.1	3158.6	4160	2752.1	36672	No expression	No expression	Enriched	Low			
O14495	Lipid phosphate phosphohydrolase 3	PPAP2B	35.116	11.6	4	4	14.128	0	12777	9144.8	11177	10584	9645.6	12231	11396	12638	12608	15337	Enriched	Enriched	Enriched	Moderate	YES		
O14497-3;O14497;O14497-2;A0A087WUV6	AT-rich interactive domain-containing protein 1A	ARID1A	205.92	3.8	5	4	23.997	0	19497	16435	19754	18712	21045	16960	22383	20384	14311	19965	Enriched	Enriched	Enriched	Enriched	YES		
O14558;K7EP04	Heat shock protein beta-6	HSPB6	17.135	40	11	11	31.917	0	29775	24659	33662	59940	31241	35483	44175	47594	25857	47219	Low	Moderate	Moderate	No expression	YES		
O14561;H3BNK3	Acyl carrier protein, mitochondrial;Acyl carrier protein	NDUFAB1	17.417	30.8	11	11	67.667	0	117040	64638	69973	90681	70502	118020	79728	182250	35171	128210	Enriched	Enriched	Enriched	Enriched	YES		
O14617-5;O14617-4;O14617;O14617-2;O14617-3	AP-3 complex subunit delta-1	AP3D1	136.65	21.1	30	30	80.683	0	92330	81646	80675	103320	101490	76300	82806	71997	62395	78499	Enriched	Enriched	Enriched	Enriched	YES		
Q5T6N4;O14639-2;O14639-6;O14639;F8W8M4;A0A0A0MRL6;H0Y3K7	Actin-binding LIM protein 1	ABLIM1	95.526	19.9	15	4	50.266	0	29028	23944	28135	30372	32398	49969	35839	36896	29778	39799	Enriched	Enriched	Enriched	Enriched	YES		
O14647-2;O14647	Chromodomain-helicase-DNA-binding protein 2	CHD2	200.56	0.6	1	1	2.0937	0.0067334	3321.2	2858.3	3009.2	2474.3	3494.3	1805.3	2772	2212.4	1287.4	1777.6	Moderate	Enriched	Enriched	No expression	YES		
O14656	Torsin-1A	TOR1A	37.808	7.8	4	4	15.006	0	16989	9658.2	17962	33273	13882	15305	15933	22136	10238	22039	Moderate	Enriched	Enriched	Enriched			
O14657	Torsin-1B	TOR1B	37.978	6.8	3	3	5.7458	0	3435.7	3677.2	3739.6	3590.7	3518.8	3505.7	11420	5178.1	9043.9	7823.3	Moderate	Enriched	Enriched	Moderate	YES		
O14672;O14672-2	Disintegrin and metalloproteinase domain-containing protein 10	ADAM10	84.141	13.8	11	11	26.375	0	12026	11787	11888	7708.6	14854	8219.3	14154	12344	7730.9	12393	Enriched	Enriched	Enriched	Moderate	YES		
O14732-2;O14732	Inositol monophosphatase 2	IMPA2	28.511	46.4	24	24	240.25	0	133210	56214	92578	103650	104080	124670	137380	149300	67755	150830	Enriched	Enriched	Enriched	Enriched	YES		
O14737;K7EQA1;O14737-2	Programmed cell death protein 5	PDCD5	14.285	36	7	7	14.667	0	9812.9	6541.3	7264.4	13174	7613.1	12330	13056	35826	7926.9	12532	Moderate	Moderate	Enriched	No expression	YES		
O14744-5;O14744;O14744-3;O14744-2;G3V580;C9JSX3	Protein arginine N-methyltransferase 5;Protein arginine N-methyltransferase 5, N-terminally processed	PRMT5	67.673	17	13	13	61.086	0	36450	18713	22236	27570	25424	70292	59019	78323	18910	44243	No expression	Enriched	Enriched	No expression	YES		
O14745;J3QRP6	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	SLC9A3R1	38.868	39.7	20	19	109.43	0	59106	55752	69032	72810	78006	73181	120650	116160	64877	92866	Enriched	Enriched	Enriched	Enriched	YES		
O14773-2;O14773	Tripeptidyl-peptidase 1	TPP1	34.463	19.7	10	10	28.627	0	49373	43109	44859	55292	51756	57257	46818	48468	28187	39562	Enriched	Enriched	Enriched	Enriched	YES		
O14776-2;O14776;G3V220	Transcription elongation regulator 1	TCERG1	121.69	13.8	16	15	50.693	0	87628	67400	99956	61300	101300	75282	54760	73146	29887	80213	Low	Enriched	Enriched	Moderate	YES		
O14791-3;O14791;O14791-2	Apolipoprotein L1	APOL1	42.158	7.9	2	2	24.667	0	1869.9	2458.1	2725.5	2108.4	2941.8	3680.1	4258.2	23973	3103.5	5305.6	Moderate	Low	Moderate	No expression	YES		
O14802	DNA-directed RNA polymerase III subunit RPC1	POLR3A	155.64	3.2	4	4	17.178	0	12864	15676	12450	11622	20951	11193	13522	10374	6278.3	14077	Low	Enriched	Enriched	No expression	YES		
O14818;O14818-2;H0Y586	Proteasome subunit alpha type-7	PSMA7	27.887	46	24	24	243.97	0	159790	118320	136600	135670	151070	150860	129060	140020	55444	139510	Enriched	Enriched	Enriched	Moderate	YES		
O14828;O14828-2	Secretory carrier-associated membrane protein 3	SCAMP3	38.287	17.3	7	7	18.424	0	14208	13772	11172	22126	11666	14005	11245	17536	6860.8	11302	Moderate	Enriched	Enriched	Enriched	YES		
O14841	5-oxoprolinase	OPLAH	137.46	18.9	19	19	88.114	0	58315	33392	39551	61382	44009	44802	40762	41818	22492	49516	Enriched	Low	Low	Enriched	YES		
O14874-2;O14874-3;O14874;H3BTL2;H3BS02	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial	BCKDK	37.767	25.1	6	6	23.454	0	38423	31731	43743	77864	33220	36535	59078	62193	35480	58316	Enriched	Enriched	Enriched	Low	YES		
Q5VV89;O14880;Q5VV87	Microsomal glutathione S-transferase 3	MGST3	18.416	23.5	7	7	13.492	0	24562	33742	32696	13944	39858	46430	40772	29116	26014	29762	Enriched	Enriched	Enriched	No expression	YES		
O14907	Tax1-binding protein 3	TAX1BP3	13.735	13.7	1	1	107.2	0	16901	10126	8760.9	18876	6699.2	10713	9280.5	17792	4985.7	17680	Enriched	Enriched	Enriched	Enriched	YES		
O14920-4;O14920-2;O14920	Inhibitor of nuclear factor kappa-B kinase subunit beta	IKBKB	79.508	7.6	4	4	14.97	0	21406	18503	19617	19931	22310	18744	23696	33141	20901	26661	Enriched	Moderate	Enriched	Low	YES		
O14925;Q5SRD1;B4DDK6	Mitochondrial import inner membrane translocase subunit Tim23;Putative mitochondrial import inner membrane translocase subunit Tim23B	TIMM23;TIMM23B	21.943	12.9	3	3	8.8577	0	13318	10946	11399	12536	15095	12151	14842	14321	8404.3	15661	Enriched	Enriched	Enriched	No expression	YES		
O14933-2;O14933	Ubiquitin/ISG15-conjugating enzyme E2 L6	UBE2L6	10.086	19.5	2	2	4.8724	0.00043478	2124	720.47	1098.2	3309.2	921.81	2254.6	2010	5031	955.69	2504.2	Enriched	Enriched	Enriched	Moderate			
O14936-3;O14936;O14936-4;O14936-6;O14936-2;Q5JS74	Peripheral plasma membrane protein CASK	CASK	102.11	22.1	22	22	52.264	0	88681	54864	62697	104290	77856	77935	87727	104650	37084	76495	Enriched	Enriched	Enriched	Moderate	YES		
O14939-4;O14939;I3L222;I3L1F3;O14939-3	Phospholipase D2	PLD2	104.66	2.4	2	2	2.5532	0.0034377	4251.8	2143.3	3467.8	3357.4	4038.7	3805.8	5095.7	4639	2969.5	3808.2	Enriched	Moderate	Moderate	Moderate	YES		
O14949	Cytochrome b-c1 complex subunit 8	UQCRQ	9.9062	23.2	3	3	5.7846	0	13237	8584.9	11624	13912	15279	13949	10701	10782	5176.2	14208	Enriched	Enriched	Enriched	Enriched	YES		
O14964-2;O14964;I3L1P5	Hepatocyte growth factor-regulated tyrosine kinase substrate	HGS	76.375	14.9	11	11	19.172	0	30209	19144	27144	27176	25474	29880	44088	40601	20230	46983	Enriched	Enriched	Enriched	Enriched	YES		
O14974-4;O14974;O14974-5;O14974-3;O14974-2;F8VZN8;H0YIS4;H0YHI8	Protein phosphatase 1 regulatory subunit 12A	PPP1R12A	109.1	19.4	23	22	86.478	0	112130	89796	83190	106310	109240	105410	119180	124510	64646	110170	Low	Low	Enriched	Low	YES		
O14975-2;O14975;G3V1R7	Very long-chain acyl-CoA synthetase	SLC27A2	64.615	8.8	6	6	8.2069	0	22001	22050	24507	17010	25977	14686	16769	16453	10036	16656	No expression	Low	Moderate	Low	YES		
O14976;O14976-2	Cyclin-G-associated kinase	GAK	143.19	11.6	18	18	36.745	0	47518	35215	40168	42543	49546	53467	83227	65306	61147	84648	Enriched	Enriched	Enriched	Enriched	YES		
O14980	Exportin-1	XPO1	123.38	30.2	41	41	209.27	0	209510	144860	197540	195630	178950	199130	220060	306880	104940	244750	Enriched	Enriched	Enriched	Enriched	YES		
O15020-2;O15020	Spectrin beta chain, non-erythrocytic 2	SPTBN2	268.31	17	50	36	126.63	0	147650	107010	126660	118740	154580	141640	134790	140040	86419	120250	No expression	Low	Low	No expression	YES		
O15031	Plexin-B2	PLXNB2	205.12	12	19	19	42.56	0	52601	43260	50172	54100	57234	49343	48468	46061	31859	51400	Enriched	Enriched	Enriched	Enriched	YES		
O15037	Protein KHNYN	KHNYN	74.533	4.3	3	3	6.3251	0	6897	6612.2	6228.1	5654.5	7313.8	4379.8	6810.1	8633	6275.4	7573.4					YES		
O15042-2;O15042;E7ET15;C9JB80;O15042-3	U2 snRNP-associated SURP motif-containing protein	U2SURP	118.23	17	18	16	118.77	0	66811	54180	65542	61457	72358	51104	64196	69814	37041	69187					YES		
O15066-2;O15066	Kinesin-like protein KIF3B;Kinesin-like protein KIF3B, N-terminally processed	KIF3B	43.269	12.9	5	5	8.743	0	15109	14758	13584	12956	20381	10519	12688	10160	8612.1	13000	Enriched	Enriched	Enriched	Low	YES		
O15067	Phosphoribosylformylglycinamidine synthase	PFAS	144.73	14.3	20	20	63.022	0	51814	41117	52217	48751	59033	41964	51148	41259	28667	47941	Low	Low	Moderate	Moderate	YES		
Q5VZY9;O15075-2;O15075;H3BLV5;O43602-2;O43602-4;O43602-5;O43602-3;O43602	Serine/threonine-protein kinase DCLK1;Neuronal migration protein doublecortin	DCLK1;DCX	40.456	6.9	2	2	6.7523	0	2574.5	1651.2	2612.3	4287.4	2023.6	4329.8	2163.8	2434.2	1808.5	3522	Low	Moderate	Low	Moderate			
O15084;O15084-4;O15084-1;O15084-2;B4DIW9	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A	ANKRD28	112.96	6.5	7	6	19.521	0	19228	14811	17930	16815	19282	18616	16688	17393	9137.3	19076	Moderate	Enriched	Enriched	No expression	YES		
O15116;E5RJ47;E5RH18	U6 snRNA-associated Sm-like protein LSm1	LSM1	15.179	12	2	2	3.0464	0.001324	21450	40047	39703	11426	38790	7577.7	16761	9785.7	11629	12153	Enriched	Enriched	Enriched	Moderate	YES		
O15118;K7EQ23;O15118-2	Niemann-Pick C1 protein	NPC1	142.17	1.9	2	2	6.9313	0	12612	7643.4	9547.4	10039	9559.8	12812	16296	18406	9671.8	12252	Moderate	Moderate	Enriched	Enriched			
O15120;O15120-2	1-acyl-sn-glycerol-3-phosphate acyltransferase beta	AGPAT2	30.914	12.6	4	4	32.794	0	9841.3	9603	10994	10461	12745	7231.7	10491	9819.7	6429	10218	Enriched	Enriched	Enriched	Moderate	YES		
O15121	Sphingolipid delta(4)-desaturase DES1	DEGS1	37.866	9.9	4	4	9.9151	0	17386	9986.7	15826	22927	13452	20034	15141	19588	8744	20606	Enriched	Moderate	Enriched	Enriched			
O15126;A0A087WU14;A0A087WXB0	Secretory carrier-associated membrane protein 1	SCAMP1	37.92	17.8	7	7	19.478	0	18376	12305	15606	13964	24750	14034	16440	14185	11805	15716	Enriched	Enriched	Enriched	Moderate	YES		
O15127	Secretory carrier-associated membrane protein 2	SCAMP2	36.648	13.7	8	8	43.167	0	28271	26022	27670	31019	31293	22388	31456	29967	21370	29546	Enriched	Enriched	Enriched	No expression	YES		
